,Vo,Mo
0.0,-130424353945.54204,-3680619479988601.5
5.0,-130439672805.47519,-3681051783408749.0
10.0,-130454765698.94255,-3681477709978633.0
15.0,-130469523336.9332,-3681894175525318.5
20.0,-130483831829.09906,-3682297966024575.5
25.0,-130497573123.62776,-3682685750014241.0
30.0,-130510625500.69856,-3683054092519713.5
35.0,-130522864119.68188,-3683399470496107.5
40.0,-130534161619.90884,-3683718289782173.5
45.0,-130544388774.48264,-3684006903551078.0
50.0,-130553415196.23238,-3684261632232659.5
55.0,-130561110094.5178,-3684478784870714.5
60.0,-130567343081.18857,-3684654681867440.0
65.0,-130571985023.57954,-3684785679055253.0
70.0,-130574908941.98997,-3684868193023954.5
75.0,-130575990948.6485,-3684898727618639.5
80.0,-130575111224.71306,-3684873901510970.0
85.0,-130572155031.39333,-3684790476733388.0
90.0,-130567013750.81921,-3684645388052779.5
95.0,-130559585951.81232,-3684435773046907.0
100.0,-130549778475.25331,-3684159002733843.5
105.0,-130537507533.27803,-3683812712591659.5
110.0,-130522699816.08171,-3683394833792814.5
115.0,-130505293599.67024,-3682903624465270.5
120.0,-130485239847.4697,-3682337700780288.5
125.0,-130462503298.296,-3681696067655302.5
130.0,-130437063532.79941,-3680978148849339.0
135.0,-130408916010.13539,-3680183816218228.0
140.0,-130378073066.28165,-3679313417887440.0
145.0,-130344564865.11974,-3678367805091938.5
150.0,-130308440293.1379,-3677348357424993.0
155.0,-130269767788.38882,-3676257006231650.5
160.0,-130228636094.1593,-3675096255877546.5
165.0,-130185154927.67972,-3673869202620114.5
170.0,-130139455554.12544,-3672579550807099.5
175.0,-130091691256.14168,-3671231626126710.0
180.0,-130042037689.16328,-3669830385634862.0
185.0,-129990693112.90314,-3668381424287860.0
190.0,-129937878489.55174,-3666890977713621.0
195.0,-129883837439.46844,-3665365920961270.5
200.0,-129828836045.45483,-3663813762977666.0
205.0,-129773162497.08438,-3662242636570262.5
210.0,-129717126567.02364,-3660661283628718.0
215.0,-129661058911.81862,-3659079035392847.5
220.0,-129605310190.23871,-3657505787571991.0
225.0,-129550249992.96867,-3655951970140557.0
230.0,-129496265578.21973,-3654428511656540.0
235.0,-129443760408.69075,-3652946797974069.5
240.0,-129393152486.25273,-3651518625247640.5
245.0,-129344872481.74988,-3650156147154467.0
250.0,-129299361658.40913,-3648871816292393.5
255.0,-129257069588.52525,-3647678319743975.5
260.0,-129218451664.33504,-3646588508832505.5
265.0,-129183966405.31134,-3645615323132939.0
270.0,-129154072565.49059,-3644771708839692.0
275.0,-129129226045.88956,-3644070531634002.0
280.0,-129109876618.56717,-3643524484235836.5
285.0,-129096464470.43419,-3643145988869032.5
290.0,-129089416576.50525,-3642947094913241.5
