,Vo,Mo
0.0,-21390117440.739285,-7999903922836493.0
5.0,-21384933970.627403,-7997965305014650.0
10.0,-21379790407.3623,-7996041612353502.0
15.0,-21374721790.97912,-7994145949826191.0
20.0,-21369764844.539383,-7992292051857731.0
25.0,-21364957844.251503,-7990494233750064.0
30.0,-21360340471.646095,-7988767336395640.0
35.0,-21355953647.634327,-7987126664215239.0
40.0,-21351839348.38208,-7985587916294900.0
45.0,-21348040403.044315,-7984167110738574.0
50.0,-21344600273.52225,-7982880502297323.0
55.0,-21341562816.53065,-7981744493382465.0
60.0,-21338972028.39274,-7980775538618886.0
65.0,-21336871773.11649,-7979990043145568.0
70.0,-21335305494.446693,-7979404254923064.0
75.0,-21334315912.732548,-7979034151361974.0
80.0,-21333944707.59943,-7978895320642188.0
85.0,-21334232187.565346,-7979002838149440.0
90.0,-21335216947.89686,-7979371138513426.0
95.0,-21336935518.1546,-7980013883789820.0
100.0,-21339422001.034668,-7980943828386967.0
105.0,-21342707704.267586,-7982172681396078.0
110.0,-21346820767.490578,-7983710967041477.0
115.0,-21351785786.160477,-7985567884024019.0
120.0,-21357623434.722282,-7987751164586135.0
125.0,-21364350091.391533,-7990266934180434.0
130.0,-21371977467.045494,-7993119572675015.0
135.0,-21380512240.848106,-7996311578077193.0
140.0,-21389955705.35467,-7999843433802648.0
145.0,-21400303423.95387,-8003713480558748.0
150.0,-21411544903.604942,-8007917793948250.0
155.0,-21423663285.915833,-8012450068932522.0
160.0,-21436635059.682285,-8017301512321176.0
165.0,-21450429798.06714,-8022460744477111.0
170.0,-21465009923.641804,-8027913711442035.0
175.0,-21480330504.537334,-8033643608696964.0
180.0,-21496339084.95884,-8039630817774607.0
185.0,-21512975553.30354,-8045852856935524.0
190.0,-21530172051.08807,-8052284347106939.0
195.0,-21547852925.83379,-8058896994261838.0
200.0,-21565934730.9788,-8065659589386073.0
205.0,-21584326275.781235,-8072538027142183.0
210.0,-21602928728.049343,-8079495344290455.0
215.0,-21621635772.37936,-8086491778869882.0
220.0,-21640333826.40132,-8093484851074096.0
225.0,-21658902317.3256,-8100429466679775.0
230.0,-21677214020.8488,-8107278043797453.0
235.0,-21695135464.216274,-8113980663616887.0
240.0,-21712527394.950268,-8120485245711401.0
245.0,-21729245316.437634,-8126737748347676.0
250.0,-21745140091.229492,-8132682394119831.0
255.0,-21760058612.53782,-8138261921089145.0
260.0,-21773844544.02162,-8143417859464088.0
265.0,-21786339127.53861,-8148090833699440.0
270.0,-21797382058.099045,-8152220889729043.0
275.0,-21806812424.797497,-8155747846874265.0
280.0,-21814469716.017433,-8158611673790521.0
285.0,-21820194886.705105,-8160752887627710.0
290.0,-21823831484.994682,-8162112975388012.0
295.0,-21825226834.938595,-8162634836267036.0
300.0,-21824233271.558277,-8162263243562797.0
305.0,-21820709423.883583,-8160945324532461.0
310.0,-21814521541.09712,-8158631056370324.0
315.0,-21805544856.34598,-8155273776273398.0
320.0,-21793664982.231133,-8150830703354444.0
325.0,-21778779331.437973,-8145263469957803.0
330.0,-21760798555.433823,-8138538659732251.0
335.0,-21739647993.633682,-8130628349618998.0
340.0,-21715269124.92862,-8121510652723304.0
345.0,-21687621012.985813,-8111170258856695.0
350.0,-21656681736.27033,-8099598969365104.0
355.0,-21622449793.310455,-8086796222698112.0
360.0,-21584945473.33587,-8072769607027617.0
365.0,-21544212182.065334,-8057535356092436.0
370.0,-21500317712.113174,-8041118824330329.0
375.0,-21453355447.226173,-8023554937262590.0
380.0,-21403445489.35905,-8004888613020287.0
385.0,-21350735697.45273,-7985175150847321.0
390.0,-21295402626.698936,-7964480582385403.0
395.0,-21237652357.062557,-7942881981541398.0
400.0,-21177721199.8928,-7920467728759907.0
405.0,-21115876271.590813,-7897337725574965.0
410.0,-21052415923.517895,-7873603555395693.0
415.0,-20987670017.62824,-7849388586592962.0
420.0,-20922000037.697426,-7824828014098838.0
425.0,-20855799026.49377,-7800068835908670.0
430.0,-20789491339.808033,-7775269761088205.0
435.0,-20723532208.918495,-7750601046135517.0
440.0,-20658407103.82511,-7726244256830593.0
445.0,-20594630890.43865,-7702391953024056.0
450.0,-20532746775.85859,-7679247294171113.0
455.0,-20473325036.916847,-7657023563806901.0
460.0,-20416961528.30138,-7635943611584717.0
465.0,-20364275967.8027,-7616239211958211.0
470.0,-20315909997.54455,-7598150339081663.0
475.0,-20272525021.463593,-7581924358027384.0
480.0,-20234799820.78769,-7567815132974596.0
485.0,-20203427950.8228,-7556082053607727.0
490.0,-20179114923.988033,-7546988981571525.0
495.0,-20162575185.730465,-7540803119463194.0
500.0,-20154528891.69677,-7537793805494593.0
505.0,-20155698496.328953,-7538231237627029.0
510.0,-20166805164.873093,-7542385131662537.0
515.0,-20188565022.622234,-7550523318460717.0
520.0,-20221685257.02707,-7562910286128124.0
525.0,-20266860090.095364,-7579805673695667.0
530.0,-20324766640.325504,-7601462723481739.0
535.0,-20396060695.396008,-7628126700078107.0
540.0,-20481372419.040527,-7660033284721159.0
545.0,-20581302017.955425,-7697406954715329.0
550.0,-20696415397.120895,-7740459358523216.0
555.0,-20827239834.45792,-7789387698087263.0
560.0,-20974259708.19329,-7844373130864292.0
