,Vo,Mo
0.0,-1127092837030.9275,-6.57320542556437e+16
5.0,-1127097881168.4856,-6.573234842974608e+16
10.0,-1127103725759.7922,-6.573268928631109e+16
15.0,-1127110383267.666,-6.573307755217029e+16
20.0,-1127117861765.7163,-6.573351369817658e+16
25.0,-1127126164615.8557,-6.57339979203967e+16
30.0,-1127135290155.8389,-6.573453012188853e+16
35.0,-1127145231399.4353,-6.573510989521507e+16
40.0,-1127155975751.9287,-6.573573650585248e+16
45.0,-1127167504743.7007,-6.573640887665262e+16
50.0,-1127179793784.7185,-6.573712557352478e+16
55.0,-1127192811942.7798,-6.573788479250291e+16
60.0,-1127206521748.3994,-6.573868434836666e+16
65.0,-1127220879029.235,-6.573952166498499e+16
70.0,-1127235832776.9292,-6.574039376755051e+16
75.0,-1127251325049.2292,-6.574129727687105e+16
80.0,-1127267290910.1917,-6.5742228405882376e+16
85.0,-1127283658411.2158,-6.5743182958542104e+16
90.0,-1127300348615.5544,-6.574415633125914e+16
95.0,-1127317275668.8438,-6.574514351700698e+16
100.0,-1127334346918.0564,-6.574613911226105e+16
105.0,-1127351463081.1194,-6.574713732689088e+16
110.0,-1127368518469.265,-6.574813199712753e+16
115.0,-1127385401263.9644,-6.574911660171439e+16
120.0,-1127401993850.0676,-6.575008428133594e+16
125.0,-1127418173206.5154,-6.5751027861403976e+16
130.0,-1127433811355.706,-6.575193987826478e+16
135.0,-1127448775872.2964,-6.575281260887232e+16
140.0,-1127462930451.8816,-6.575363810395373e+16
145.0,-1127476135539.652,-6.575440822467251e+16
150.0,-1127488249018.7427,-6.575511468277308e+16
155.0,-1127499126957.5967,-6.575574908416704e+16
160.0,-1127508624415.249,-6.575630297589733e+16
165.0,-1127516596302.9946,-6.575676789639065e+16
170.0,-1127522898300.4536,-6.5757135428882456e+16
175.0,-1127527387823.5781,-6.575739725787107e+16
180.0,-1127529925041.659,-6.575754522842956e+16
185.0,-1127530373939.8984,-6.575757140817488e+16
190.0,-1127528603423.6064,-6.575746815166472e+16
195.0,-1127524488459.5764,-6.57572281669625e+16
200.0,-1127517911249.6753,-6.5756844584081064e+16
205.0,-1127508762431.1719,-6.5756311024985944e+16
210.0,-1127496942297.816,-6.575562167480863e+16
215.0,-1127482362035.176,-6.575477135389147e+16
220.0,-1127464944963.2478,-6.5753755590256616e+16
225.0,-1127444627778.8635,-6.575257069206331e+16
230.0,-1127421361789.9663,-6.575121381959084e+16
235.0,-1127395114133.376,-6.574968305625848e+16
240.0,-1127365868967.2454,-6.574797747816975e+16
245.0,-1127333628629.028,-6.574609722164492e+16
250.0,-1127298414749.4153,-6.5744043548185896e+16
255.0,-1127260269312.3928,-6.574181890629875e+16
