,Vo,Mo
0.0,-1463149433224.4155,-5.0252215653005224e+16
5.0,-1463348584276.981,-5.0259055543322504e+16
10.0,-1463555236725.628,-5.026615307087424e+16
15.0,-1463768528967.9688,-5.027347864372131e+16
20.0,-1463987503375.5486,-5.028099937188641e+16
25.0,-1464211106446.76,-5.028867907260598e+16
30.0,-1464438189583.4482,-5.029647829700295e+16
35.0,-1464667510525.5298,-5.030435437935898e+16
40.0,-1464897735475.9644,-5.031226151009711e+16
45.0,-1465127441946.0918,-5.0320150833505656e+16
50.0,-1465355122348.717,-5.032797057114344e+16
55.0,-1465579188363.3384,-5.0335666171764664e+16
60.0,-1465797976094.6138,-5.0343180488487624e+16
65.0,-1466009752041.5144,-5.0350453983806776e+16
70.0,-1466212719890.6548,-5.035742496291118e+16
75.0,-1466405028142.9883,-5.036402983562525e+16
80.0,-1466584778578.4539,-5.037020340712904e+16
85.0,-1466750035558.2495,-5.037587919744702e+16
90.0,-1466898836159.198,-5.038098978951531e+16
95.0,-1467029201129.1907,-5.038546720544899e+16
100.0,-1467139146646.96,-5.038924331043428e+16
105.0,-1467226696863.4424,-5.0392250243464664e+16
110.0,-1467289897195.817,-5.039442087392776e+16
115.0,-1467326828338.9111,-5.039568928283046e+16
120.0,-1467335620952.148,-5.039599126722556e+16
125.0,-1467314470973.5303,-5.039526486617422e+16
130.0,-1467261655505.4282,-5.0393450906347144e+16
135.0,-1467175549210.1255,-5.039049356513348e+16
140.0,-1467054641146.2725,-5.038634094889282e+16
145.0,-1466897551970.6194,-5.0380945683752824e+16
150.0,-1466703051422.7068,-5.037426551612511e+16
155.0,-1466470076003.6194,-5.0366263919886216e+16
160.0,-1466197746753.5159,-5.035691070695111e+16
165.0,-1465885387026.4888,-5.034618263775501e+16
170.0,-1465532540155.4312,-5.033406402795737e+16
175.0,-1465138986894.0452,-5.032054734749191e+16
180.0,-1464704762517.9907,-5.030563380790957e+16
185.0,-1464230173462.487,-5.02893339338009e+16
190.0,-1463715813369.5051,-5.027166811394075e+16
195.0,-1463162578414.09,-5.025266712767441e+16
200.0,-1462571681776.38,-5.023237264196258e+16
205.0,-1461944667123.6145,-5.021083767442414e+16
210.0,-1461283420964.8845,-5.0188127017663e+16
215.0,-1460590183740.6443,-5.016431762013998e+16
220.0,-1459867559509.1382,-5.013949891885552e+16
225.0,-1459118524092.9219,-5.011377311914381e+16
230.0,-1458346431550.6526,-5.008725541694802e+16
235.0,-1457555018842.3203,-5.0060074159048744e+16
240.0,-1456748408560.1301,-5.003237093685685e+16
245.0,-1455931109602.3784,-5.000430060955788e+16
250.0,-1455108015673.905,-4.997603125260972e+16
255.0,-1454284401504.0908,-4.994774402784884e+16
260.0,-1453465916681.9277,-4.99196329717543e+16
265.0,-1452658577017.4214,-4.98919046987531e+16
270.0,-1451868753349.5117,-4.9864778016825496e+16
275.0,-1451103157732.807,-4.9838483453085096e+16
280.0,-1450368826948.7273,-4.981326268746522e+16
285.0,-1449673103301.1067,-4.97893678931392e+16
290.0,-1449023612671.906,-4.976706098283868e+16
295.0,-1448428239829.3828,-4.974661276080678e+16
300.0,-1447895100998.8257,-4.972830198073348e+16
305.0,-1447432513724.7202,-4.9712414310664504e+16
310.0,-1447048964072.8977,-4.969924120655131e+16
315.0,-1446753071241.7664,-4.968907869681543e+16
320.0,-1446553549673.0332,-4.968222608103216e+16
325.0,-1446459168774.288,-4.967898454659311e+16
330.0,-1446478710388.3352,-4.967965570798033e+16
335.0,-1446620924167.0889,-4.968454007407204e+16
340.0,-1446894481031.057,-4.969393544969762e+16
345.0,-1447307924918.7668,-4.970813527846003e+16
350.0,-1447869623053.7778,-4.972742693464464e+16
355.0,-1448587714979.9993,-4.975208997282498e+16
360.0,-1449470060638.6897,-4.9782394344555e+16
365.0,-1450524187782.5679,-4.981859859229415e+16
370.0,-1451757239043.6748,-4.98609480314405e+16
375.0,-1453175918991.8032,-4.990967293203991e+16
380.0,-1454786441539.1719,-4.996498671238703e+16
385.0,-1456594478064.3542,-5.002708415732931e+16
390.0,-1458605106643.9954,-5.009613967461818e+16
395.0,-1460822762794.303,-5.0172305603113864e+16
400.0,-1463251192135.4094,-5.0255710587031624e+16
405.0,-1465893405400.1592,-5.034645803070785e+16
410.0,-1468751636214.4275,-5.044462464855504e+16
415.0,-1471827302078.3757,-5.0550259124953736e+16
420.0,-1475120968976.8271,-5.0663380898787464e+16
425.0,-1478632320041.8796,-5.078397908715266e+16
430.0,-1482360128681.6382,-5.091201156245865e+16
