,Vo,Mo
0.0,-705079220388.5082,-2.421611370024817e+16
5.0,-705077204110.2942,-2.4216044450692844e+16
10.0,-705075372418.5354,-2.421598154080327e+16
15.0,-705073748381.8481,-2.4215925762876572e+16
20.0,-705072355176.6504,-2.421587791291234e+16
25.0,-705071215946.4637,-2.4215838785780332e+16
30.0,-705070353652.7078,-2.4215809170095976e+16
35.0,-705069790917.4095,-2.4215789842818172e+16
40.0,-705069549858.325,-2.421578156358652e+16
45.0,-705069651917.0515,-2.4215785068817784e+16
50.0,-705070117680.7891,-2.4215801065584244e+16
55.0,-705070966698.4883,-2.4215830225299268e+16
60.0,-705072217292.208,-2.4215873177238336e+16
65.0,-705073886364.582,-2.421593050192642e+16
70.0,-705075989203.3785,-2.421600272442556e+16
75.0,-705078539284.2119,-2.4216090307558948e+16
80.0,-705081548072.5486,-2.4216193645110744e+16
85.0,-705085024826.2179,-2.4216313055043316e+16
90.0,-705088976399.7162,-2.421644877277597e+16
95.0,-705093407051.6555,-2.4216600944571744e+16
100.0,-705098318256.7771,-2.421676962108098e+16
105.0,-705103708524.0033,-2.4216954751092256e+16
110.0,-705109573222.0593,-2.4217156175543348e+16
115.0,-705115904414.24,-2.421737362184622e+16
120.0,-705122690703.9363,-2.4217606698581624e+16
125.0,-705129917092.5686,-2.421785489061977e+16
130.0,-705137564851.5964,-2.4218117554724476e+16
135.0,-705145611410.2881,-2.4218393915698588e+16
140.0,-705154030260.9381,-2.4218683063128652e+16
145.0,-705162790883.2131,-2.4218983948786548e+16
150.0,-705171858689.2896,-2.4219295384745244e+16
155.0,-705181194991.419,-2.421961604226481e+16
160.0,-705190756993.5111,-2.4219944451503332e+16
165.0,-705200497808.2764,-2.4220279002105684e+16
170.0,-705210366501.3962,-2.4220617944720576e+16
175.0,-705220308164.116,-2.4220959393493744e+16
180.0,-705230264015.5514,-2.422130132958174e+16
185.0,-705240171535.9028,-2.422164160572714e+16
190.0,-705249964631.6342,-2.422197795193172e+16
195.0,-705259573833.5504,-2.422230798225944e+16
200.0,-705268926528.5452,-2.4222629202795868e+16
205.0,-705277947225.6301,-2.4222939020785036e+16
210.0,-705286557856.6741,-2.422323475495839e+16
215.0,-705294678112.089,-2.422351364706401e+16
220.0,-705302225811.4889,-2.4223772874596972e+16
225.0,-705309117309.132,-2.4224009564724356e+16
230.0,-705315267933.717,-2.4224220809390164e+16
235.0,-705320592461.8667,-2.422440368157721e+16
240.0,-705325005624.3726,-2.4224555252694224e+16
245.0,-705328422644.0087,-2.4224672611047204e+16
