,Vo,Mo
0.0,-444316399648.2867,-6664745994724300.0
5.0,-444298335875.26495,-6664475038128974.0
10.0,-444282875809.93024,-6664243137148954.0
15.0,-444270279965.79596,-6664054199486939.0
20.0,-444260806062.0895,-6663912090931342.0
25.0,-444254707098.3613,-6663820606475420.0
30.0,-444252229327.5553,-6663783439913329.0
35.0,-444253610133.04987,-6663804151995748.0
40.0,-444259075816.053,-6663886137240795.0
45.0,-444268839300.61017,-6664032589509152.0
50.0,-444283097764.3695,-6664246466465543.0
55.0,-444302030204.1278,-6664530453061917.0
60.0,-444325794946.0524,-6664886924190786.0
65.0,-444354527111.33276,-6665317906669991.0
70.0,-444388336048.8519,-6665825040732779.0
75.0,-444427302747.2754,-6666409541209131.0
80.0,-444471477239.7315,-6667072158595972.0
85.0,-444520876014.9873,-6667813140224810.0
90.0,-444575479449.7082,-6668632191745623.0
95.0,-444635229277.0148,-6669528439155221.0
100.0,-444700026107.11395,-6670500391606709.0
105.0,-444769727016.26935,-6671545905244040.0
110.0,-444844143220.7878,-6672662148311817.0
115.0,-444923037853.02374,-6673845567795355.0
120.0,-445006123856.6322,-6675091857849483.0
125.0,-445093062018.4311,-6676395930276466.0
130.0,-445183459154.25305,-6677751887313795.0
135.0,-445276866466.0765,-6679152996991147.0
140.0,-445372778087.5109,-6680591671312663.0
145.0,-445470629834.371,-6682059447515564.0
150.0,-445569798176.6071,-6683546972649106.0
155.0,-445669599447.2531,-6685043991708796.0
160.0,-445769289303.30707,-6686539339549605.0
165.0,-445868062452.57983,-6688020936788697.0
170.0,-445965052659.5138,-6689475789892707.0
175.0,-446059333041.80493,-6690889995627074.0
180.0,-446149916668.3445,-6692248750025166.0
185.0,-446235757467.53815,-6693536362013072.0
190.0,-446315751453.4629,-6694736271801943.0
195.0,-446388738275.5878,-6695831074133817.0
200.0,-446453503095.9227,-6696802546438841.0
205.0,-446508778795.4835,-6697631681932253.0
210.0,-446553248509.99664,-6698298727649949.0
215.0,-446585548493.15765,-6698783227397365.0
220.0,-446604271305.15155,-6699064069577273.0
225.0,-446607969325.1261,-6699119539876891.0
230.0,-446595158589.06384,-6698927378835957.0
235.0,-446564322958.6128,-6698464844379192.0
240.0,-446513918631.2343,-6697708779468514.0
245.0,-446442379006.7715,-6696635685101572.0
250.0,-446348119929.6081,-6695221798944121.0
255.0,-446229545328.4312,-6693443179926468.0
260.0,-446085053276.80255,-6691275799152038.0
265.0,-445913042496.9479,-6688695637454217.0
270.0,-445711919326.1602,-6685678789892403.0
275.0,-445480105159.855,-6682201577397825.0
280.0,-445216044377.58044,-6678240665663707.0
285.0,-444918212748.2664,-6673773191223996.0
290.0,-444585126298.8585,-6668776894482878.0
295.0,-444215350616.53815,-6663230259248072.0
300.0,-443807510539.36774,-6657112658090516.0
305.0,-443360300173.94934,-6650404502609240.0
310.0,-442872493162.16486,-6643087397432472.0
315.0,-442342953103.01984,-6635144296545297.0
320.0,-441770644020.8445,-6626559660312667.0
325.0,-441154640758.42017,-6617319611376302.0
330.0,-440494139163.7454,-6607412087456181.0
335.0,-439788465932.7048,-6596826988990571.0
340.0,-439037087967.29016,-6585556319509352.0
345.0,-438239621110.4417,-6573594316656625.0
350.0,-437395838124.0415,-6560937571860622.0
355.0,-436505675785.9125,-6547585136788687.0
360.0,-435569240994.4433,-6533538614916649.0
365.0,-434586815785.08276,-6518802236776241.0
370.0,-433558861180.6739,-6503382917710108.0
375.0,-432486019816.5956,-6487290297248933.0
380.0,-431369117301.13165,-6470536759516975.0
385.0,-430209162290.6425,-6453137434359637.0
390.0,-429007345277.3681,-6435110179160521.0
395.0,-427765036104.55566,-6416475541568335.0
400.0,-426483780238.7449,-6397256703581173.0
405.0,-425165293842.2493,-6377479407633740.0
410.0,-423811457700.083,-6357171865501245.0
415.0,-422424310064.8449,-6336364650972673.0
420.0,-421006038490.56036,-6315090577358405.0
425.0,-419558970732.41327,-6293384560986199.0
430.0,-418085564793.93756,-6271283471909063.0
435.0,-416588398206.8179,-6248825973102267.0
440.0,-415070156631.17926,-6226052349467689.0
445.0,-413533621866.3066,-6203004327994598.0
