,Vo,Mo
0.0,-75425528545.27002,-2.494844405728162e+16
5.0,-75415790776.2222,-2.4945223102904268e+16
10.0,-75406364979.57262,-2.4942105339397096e+16
15.0,-75397345674.28674,-2.4939122030725616e+16
20.0,-75388831920.85344,-2.4936305943051524e+16
25.0,-75380927061.76047,-2.493369125889e+16
30.0,-75373738423.53305,-2.4931313478553236e+16
35.0,-75367376979.98409,-2.492920930876397e+16
40.0,-75361956976.53679,-2.492741653839294e+16
45.0,-75357595515.7047,-2.4925973901348476e+16
50.0,-75354412104.0485,-2.4924920926723732e+16
55.0,-75352528161.17194,-2.492429777638764e+16
60.0,-75352066491.5706,-2.4924145070288736e+16
65.0,-75353150720.40411,-2.4924503699825976e+16
70.0,-75355904694.52443,-2.492541462972731e+16
75.0,-75360451850.35674,-2.492691868896415e+16
80.0,-75366914550.49438,-2.4929056351317372e+16
85.0,-75375413391.13208,-2.4931867506297532e+16
90.0,-75386066482.72066,-2.4935391221207604e+16
95.0,-75398988706.47826,-2.493966549521973e+16
100.0,-75414290949.63551,-2.49447270064179e+16
105.0,-75432079322.52223,-2.4950610852834276e+16
110.0,-75452454360.81702,-2.495735028857794e+16
115.0,-75475510216.47675,-2.496497645621923e+16
120.0,-75501333841.03584,-2.4973518116650316e+16
125.0,-75530004165.11186,-2.498300137769085e+16
130.0,-75561591278.07121,-2.499344942274663e+16
135.0,-75596155611.89229,-2.500488224085668e+16
140.0,-75633747133.30902,-2.5017316359479136e+16
145.0,-75674404548.32222,-2.5030764581368116e+16
150.0,-75718154523.12346,-2.5045235726879296e+16
155.0,-75765010925.38467,-2.5060734383011852e+16
160.0,-75814974089.71916,-2.507726066044557e+16
165.0,-75868030110.9138,-2.5094809959763796e+16
170.0,-75924150168.26227,-2.5113372747963676e+16
175.0,-75983289883.99152,-2.5132934346243348e+16
180.0,-76045388718.36281,-2.5153474729920004e+16
185.0,-76110369403.54149,-2.5174968341171416e+16
190.0,-76178137417.76016,-2.5197383915105284e+16
195.0,-76248580500.64503,-2.522068431944413e+16
200.0,-76321568209.83029,-2.5244826407866944e+16
205.0,-76396951518.15237,-2.526976088677348e+16
210.0,-76474562449.84639,-2.529543219494919e+16
215.0,-76554213753.43571,-2.53217783953672e+16
220.0,-76635698608.74382,-2.5348731078276804e+16
225.0,-76718790366.00684,-2.537621527490995e+16
230.0,-76803242316.57759,-2.5404149381637204e+16
235.0,-76888787497.07707,-2.543244509518703e+16
240.0,-76975138531.8004,-2.5461007360518596e+16
245.0,-77061987521.43097,-2.548973433401178e+16
250.0,-77149005989.38507,-2.5518517365719676e+16
255.0,-77235844900.16867,-2.554724100544041e+16
260.0,-77322134766.77399,-2.5575783038240628e+16
265.0,-77407485866.2123,-2.5604014555747148e+16
270.0,-77491488583.63834,-2.563180006997268e+16
275.0,-77573713906.07556,-2.565899767662499e+16
280.0,-77653714086.4404,-2.568545927474567e+16
285.0,-77731023497.36139,-2.5711030849127228e+16
290.0,-77805159692.20801,-2.5735552821268804e+16
295.0,-77875624687.82977,-2.575886047366677e+16
300.0,-77941906479.83958,-2.578078445102386e+16
305.0,-78003480796.97647,-2.5801151340538372e+16
310.0,-78059813096.29993,-2.5819784331853052e+16
315.0,-78110360795.8873,-2.5836503955562724e+16
320.0,-78154575736.53133,-2.5851128897468056e+16
325.0,-78191906858.87816,-2.5863476884090468e+16
330.0,-78221803077.70692,-2.587336563339537e+16
335.0,-78243716330.79704,-2.5880613863263636e+16
340.0,-78257104776.19101,-2.5885042349047796e+16
345.0,-78261436108.72713,-2.5886475020578976e+16
350.0,-78256190964.5368,-2.5884740088269868e+16
355.0,-78240866380.78223,-2.5879671187489508e+16
360.0,-78214979277.21875,-2.587110853015697e+16
365.0,-78178069926.13142,-2.5858900052489628e+16
370.0,-78129705377.71687,-2.5842902548014044e+16
375.0,-78069482808.93892,-2.5822982775264412e+16
380.0,-77997032765.1628,-2.5799018530015384e+16
385.0,-77912022265.35478,-2.5770899672386584e+16
390.0,-77814157743.23398,-2.573852909968509e+16
395.0,-77703187798.40636,-2.5701823656395948e+16
400.0,-77578905733.1496,-2.566071497327256e+16
405.0,-77441151852.11719,-2.561515022800799e+16
410.0,-77289815503.78314,-2.556509282048212e+16
415.0,-77124836843.96072,-2.5510522956079316e+16
420.0,-76946208303.22395,-2.5451438131066384e+16
425.0,-76753975741.5748,-2.5387853514520892e+16
